feature_group,baseline_r2,r2_after_permutation,r2_drop
location_key,0.30047355697589195,0.11583733773178495,0.184636219244107
log_building_size,0.30047355697589195,0.20414703573142834,0.09632652124446361
rooms_numeric,0.30047355697589195,0.2747587799287601,0.025714777047131876
has_elevator,0.30047355697589195,0.2835201832197758,0.016953373756116163
has_parking,0.30047355697589195,0.28533391322311075,0.015139643752781207
has_warehouse,0.30047355697589195,0.29365662705209294,0.006816929923799009
cat3_slug,0.30047355697589195,0.2941724929120576,0.00630106406383435
construction_year_jalali,0.30047355697589195,0.29700297914853,0.0034705778273619314
user_type,0.30047355697589195,0.2983152048674439,0.0021583521084480584
units_per_floor_numeric,0.30047355697589195,0.29855437614129776,0.0019191808345941919
has_balcony,0.30047355697589195,0.29916677119377855,0.0013067857821134066
total_floors_numeric,0.30047355697589195,0.29993865607959425,0.0005349008962977075
floor_numeric,0.30047355697589195,0.3002928469028723,0.00018071007301967423
property_type,0.30047355697589195,0.30039964446868284,7.391250720911735e-05
listing_month_index,0.30047355697589195,0.3004388555143468,3.4701461545161294e-05
has_heating_system,0.30047355697589195,0.30047355697589195,0.0
has_cooling_system,0.30047355697589195,0.30047355697589195,0.0
is_rebuilt,0.30047355697589195,0.3006846485642356,-0.00021109158834364816
