city_slug,listings,median_asking_price,median_price_per_sqm,mean_price_per_sqm,median_building_size_sqm,median_rooms
tehran,91836,6750000000.0,83333333.33333333,96383082.24554422,85.0,2.0
mashhad,33624,3100000000.0,30200000.0,33690986.63358116,110.0,2.0
karaj,26725,3150000000.0,32926829.268292684,37212495.82843842,100.0,2.0
isfahan,18571,4000000000.0,35000000.0,40542218.15119725,125.0,2.0
shiraz,16949,4600000000.0,37058823.52941176,40856765.15404345,138.0,2.0
tabriz,15305,2600000000.0,28333333.333333332,31596252.312802427,109.0,2.0
andisheh-new-town,15154,1680000000.0,29533066.860465117,31839359.540920056,60.0,2.0
ahvaz,11120,2650000000.0,25714285.714285713,29176367.2590941,110.0,2.0
rasht,9202,2650000000.0,27777777.777777776,32207275.073513873,100.0,2.0
qom,8130,2975000000.0,26470588.23529412,29712740.524071284,119.5,2.0
kermanshah,7886,3000000000.0,27380952.38095238,29594612.47486537,120.0,2.0
pardis-city,7801,2750000000.0,29523809.523809522,31198383.4961087,88.0,2.0
chamestan,7404,1600000000.0,10909090.909090908,13020124.159367561,150.0,2.0
urmia,6779,3000000000.0,22807017.54385965,24527250.90231899,160.0,2.0
nur,6755,1600000000.0,10000000.0,12802209.946803508,170.0,3.0
parand-city,5533,1200000000.0,15733333.333333334,17606909.110105783,82.0,2.0
bandar-abbas,5254,3000000000.0,34827380.952380955,33923385.83412039,99.0,2.0
arak,5203,3100000000.0,33513513.513513513,33865682.4410481,113.0,2.0
kerman,5041,2500000000.0,21111111.111111112,22613066.196269065,151.0,2.0
ardabil,4579,2600000000.0,25000000.0,27211401.71807688,120.0,2.0
hashtgerd-city,4515,1380000000.0,15277777.777777778,19056085.355080415,88.0,2.0
hamedan,4403,3000000000.0,34027777.777777776,35732510.48588047,103.0,2.0
mahmudabad,4202,2200000000.0,16666666.666666666,19146198.82260154,145.0,2.0
eslamshahr,4151,2550000000.0,32352941.17647059,34188551.70094873,81.0,2.0
gorgan,4015,2700000000.0,24806201.5503876,28059504.516933993,120.0,2.0
qazvin,3825,2700000000.0,29230769.230769232,33701407.940778166,107.0,2.0
zanjan,3802,2500000000.0,26956521.739130434,28701007.925546028,113.0,2.0
yazd,3710,3038000000.0,20743212.14910262,24246142.35325724,180.0,2.0
zahedan,3641,1730000000.0,15242718.446601942,15705901.690419087,144.0,2.0
nowshahr,3583,6400000000.0,31818181.818181816,35505332.92263652,230.0,3.0
fardis-city,3578,2550000000.0,31023570.493234396,32437952.21078186,86.0,2.0
khorramabad,3523,2400000000.0,21153846.153846152,23360416.09429834,120.0,2.0
shahriar-city,3376,3000000000.0,32000000.0,35295695.18560153,120.0,2.0
sanandaj,3152,1550000000.0,16666666.666666666,19581504.22453756,107.0,2.0
sadra,2775,2900000000.0,22916666.666666668,23282315.856470283,125.0,2.0
bushehr,2574,2500000000.0,22928921.568627454,26205868.014691453,135.0,2.0
neyshabur,2492,1707250000.0,16958646.616541356,18686226.496727515,120.0,2.0
dezful,2384,2650000000.0,24602774.27490542,24059405.916415498,130.0,2.0
amol,2318,2000000000.0,15191142.19114219,17634908.762583848,140.0,2.0
kashan,2281,1800000000.0,15882352.94117647,17737015.220436465,130.0,2.0
lahijan,2263,3400000000.0,35119047.61904762,34853085.194572575,120.0,2.0
bojnurd,2238,2350000000.0,21250000.0,22037187.822453015,120.0,2.0
qods-city,2144,2450000000.0,30000000.0,32509665.348054923,80.0,2.0
shahin-shahr,2105,2765000000.0,27692307.692307692,27731816.06679216,109.0,2.0
saveh,2073,2000000000.0,21000000.0,20464734.307754092,107.0,2.0
yasuj,2037,1400000000.0,6500000.0,10996594.150089214,200.0,2.0
pakdasht-city,2034,1650000000.0,19230769.230769232,20926153.045583334,90.0,2.0
najafabad,2006,2300000000.0,16500000.0,19430320.655894436,155.0,2.0
borujerd,1989,2030000000.0,19157088.120689657,21009800.168360226,120.0,2.0
bandar-anzali,1958,3300000000.0,32500000.0,34435423.85700376,110.0,2.0
damavand,1889,3000000000.0,22117647.05882353,31365858.769168932,200.0,2.0
sorkhrood,1816,3800000000.0,26666666.666666668,33996033.324156806,147.0,2.0
kish,1762,8860000000.0,100000000.0,119490229.43598443,85.0,2.0
tonekabon,1746,3800000000.0,31578947.36842105,30790314.678823046,162.5,2.0
robat-karim,1661,1600000000.0,17066666.666666668,18088902.33242455,100.0,2.0
semnan,1628,2189000000.0,22337184.87394958,23712406.324766908,100.0,2.0
ilam,1584,1900000000.0,17058823.529411763,17939948.881998274,130.0,2.0
golbahar-city,1568,1111111111.0,13125000.0,14519819.633412877,82.0,2.0
abadan,1566,1350000000.0,13116554.054054055,14071307.832558637,120.0,2.0
birjand,1469,1500000000.0,15294117.647058824,15845591.758379454,135.0,2.0
qarchak-city,1448,1800000000.0,25027472.527472526,26595524.512236863,77.0,1.0
varamin-city,1446,2000000000.0,20833333.333333332,23861896.804037143,100.0,2.0
sirjan,1373,1800000000.0,14418604.65116279,18266852.072244503,200.0,2.0
babolsar,1260,3300000000.0,30434782.608695652,40715715.51065309,112.0,2.0
sabzevar,1252,1600000000.0,16292857.142857142,17020901.476129748,120.0,2.0
shahrekord,1178,2000000000.0,16816114.359974008,19621839.49008382,150.0,2.0
rudehen,1130,3780000000.0,28915830.54626533,34202355.286987446,150.0,2.0
sari,1123,2300000000.0,20769230.769230768,21140607.321561147,130.0,2.0
mahdasht-city,1111,1460000000.0,12000000.0,18048807.83684886,95.0,2.0
qaem-shahr,1067,2000000000.0,16216216.216216216,16815293.23088788,150.0,2.0
mohammad-shahr,1065,2000000000.0,20000000.0,25844004.062481835,100.0,2.0
dorud,1058,1500000000.0,13299731.1827957,14114780.597971909,125.0,2.0
izadshahr,1055,2200000000.0,14333333.333333334,31716103.774047147,160.0,3.0
