city_slug,listing_month,listings,median_price_per_sqm,median_asking_price,median_building_size_sqm,median_construction_year_jalali,eligible_month
isfahan,2023-06-01,2,74022988.50574712,30000000000.0,370.0,1380.0,False
isfahan,2023-07-01,1,2857142.8571428573,3000000000.0,1050.0,,False
isfahan,2023-08-01,1,38888888.88888889,3500000000.0,90.0,1402.0,False
isfahan,2023-09-01,3,18750000.0,6700000000.0,200.0,1391.0,False
isfahan,2023-10-01,8,55000000.0,8750000000.0,240.0,1398.0,False
isfahan,2023-11-01,8,33936084.142394826,4150000000.0,123.0,1396.5,False
isfahan,2023-12-01,10,69669117.64705881,13000000000.0,191.0,1398.0,False
isfahan,2024-01-01,18,55909090.90909091,7250000000.0,145.0,1399.0,False
isfahan,2024-02-01,29,36190476.190476194,4900000000.0,140.0,1401.0,False
isfahan,2024-03-01,28,34027328.29917296,5025000000.0,125.0,1400.5,False
isfahan,2024-04-01,189,37777777.777777776,4700000000.0,134.0,1398.0,True
isfahan,2024-05-01,2298,35555555.55555555,4089500000.0,128.0,1396.0,True
isfahan,2024-06-01,2154,34330357.14285714,3850000000.0,125.0,1396.0,True
isfahan,2024-07-01,2467,35042735.04273504,4100000000.0,126.0,1395.0,True
isfahan,2024-08-01,2273,34400000.0,4000000000.0,125.0,1395.0,True
isfahan,2024-09-01,2025,32967032.967032965,3700000000.0,120.0,1395.0,True
isfahan,2024-10-01,2375,34736842.10526316,4000000000.0,125.0,1395.0,True
isfahan,2024-11-01,2448,36666666.666666664,4195000000.0,120.0,1396.0,True
isfahan,2024-12-01,2230,35611941.728963,4000000000.0,124.0,1396.0,True
isfahan,2025-01-01,2,34309288.07166431,4440000000.0,124.0,1401.5,False
isfahan,2025-02-01,2,38769841.26984127,3775000000.0,97.5,1401.5,False
karaj,2021-06-01,1,8000000.0,1200000000.0,150.0,1400.0,False
karaj,2023-06-01,1,41353383.45864662,5500000000.0,133.0,1390.0,False
karaj,2023-07-01,1,108888888.8888889,4900000000.0,45.0,1396.0,False
karaj,2023-08-01,2,48002787.06800446,7399500000.0,224.5,1400.0,False
karaj,2023-09-01,3,1000000.0,300000000.0,700.0,,False
karaj,2023-10-01,7,52000000.0,10980000000.0,270.0,1401.0,False
karaj,2023-11-01,7,22000000.0,8800000000.0,140.0,1401.5,False
karaj,2023-12-01,3,25714285.714285713,4400000000.0,120.0,1400.0,False
karaj,2024-01-01,27,49583333.333333336,5600000000.0,123.0,1400.5,False
karaj,2024-02-01,46,23423076.923076924,3075000000.0,130.0,1400.0,False
karaj,2024-03-01,61,26804123.711340208,3036000000.0,125.0,1401.0,False
karaj,2024-04-01,337,35000000.0,4000000000.0,116.0,1397.0,True
karaj,2024-05-01,3790,31963855.421686746,3050000000.0,100.0,1395.0,True
karaj,2024-06-01,3475,32459016.393442623,3100000000.0,100.0,1395.0,True
karaj,2024-07-01,3248,34000000.0,3250000000.0,100.0,1395.0,True
karaj,2024-08-01,3050,32240143.369175628,3000000000.0,98.0,1395.0,True
karaj,2024-09-01,2804,32564784.053156145,3118000000.0,97.0,1395.0,True
karaj,2024-10-01,3123,33043478.260869566,3050000000.0,98.0,1396.0,True
karaj,2024-11-01,3303,32653061.224489797,3200000000.0,100.0,1396.0,True
karaj,2024-12-01,3369,33974358.974358976,3200000000.0,97.0,1396.0,True
karaj,2025-01-01,52,34841397.84946236,2970000000.0,86.0,1397.5,False
karaj,2025-02-01,15,31746031.746031746,4200000000.0,120.0,1399.0,False
mashhad,2023-05-01,1,82857142.85714285,29000000000.0,350.0,1403.0,False
mashhad,2023-06-01,2,570000.0,151750000.0,162.5,,False
mashhad,2023-07-01,1,278350.5154639175,135000000.0,485.0,,False
mashhad,2023-08-01,3,66666666.666666664,12000000000.0,125.0,1403.0,False
mashhad,2023-09-01,7,32475247.524752475,3280000000.0,95.0,1385.0,False
mashhad,2023-10-01,3,88235294.11764705,15000000000.0,180.0,1385.0,False
mashhad,2023-11-01,17,3150000.0,890000000.0,250.0,1401.0,False
mashhad,2023-12-01,18,48937500.0,6950000000.0,172.5,1399.5,False
mashhad,2024-01-01,31,44000000.0,6900000000.0,160.0,1402.0,False
mashhad,2024-02-01,42,33038235.294117644,3475000000.0,150.0,1401.0,False
mashhad,2024-03-01,70,29479166.666666664,3055000000.0,150.0,1400.5,False
mashhad,2024-04-01,286,32750000.0,3725000000.0,129.5,1400.0,True
mashhad,2024-05-01,3902,30000000.0,3100000000.0,110.0,1398.0,True
mashhad,2024-06-01,3938,30000000.0,3040000000.0,105.0,1398.0,True
mashhad,2024-07-01,4188,29877295.995182175,3000000000.0,108.0,1398.0,True
mashhad,2024-08-01,4136,30000000.0,3000000000.0,110.0,1398.0,True
mashhad,2024-09-01,3755,30000000.0,3000000000.0,106.0,1398.0,True
mashhad,2024-10-01,4500,30092592.592592593,3100000000.0,107.0,1398.0,True
mashhad,2024-11-01,4423,30841121.495327104,3150000000.0,110.0,1399.0,True
mashhad,2024-12-01,4254,31250000.0,3200000000.0,110.0,1399.0,True
mashhad,2025-01-01,37,33628318.584070794,3800000000.0,112.0,1402.0,False
mashhad,2025-02-01,9,58787878.78787879,6000000000.0,110.0,1402.0,False
mashhad,2025-03-01,1,58333333.333333336,10500000000.0,180.0,1403.0,False
shiraz,2023-04-01,1,60740740.74074074,8200000000.0,135.0,1402.0,False
shiraz,2023-07-01,1,106451612.90322581,16500000000.0,155.0,1399.0,False
shiraz,2023-09-01,1,42516129.03225806,6590000000.0,155.0,1402.0,False
shiraz,2023-10-01,1,40000000.0,5360000000.0,134.0,1402.0,False
shiraz,2023-11-01,3,27238095.23809524,2860000000.0,105.0,1402.0,False
shiraz,2023-12-01,5,37500000.0,5500000000.0,130.0,1400.0,False
shiraz,2024-01-01,5,10400000.0,10400000000.0,600.0,1400.0,False
shiraz,2024-02-01,6,40669291.33858268,5075000000.0,184.0,1402.0,False
shiraz,2024-03-01,14,34238095.23809524,5150000000.0,175.0,1399.0,False
shiraz,2024-04-01,111,37000000.0,5670000000.0,140.0,1400.0,False
shiraz,2024-05-01,1907,36500000.0,4562500000.0,140.0,1397.0,True
shiraz,2024-06-01,2010,36310541.31054132,4445000000.0,136.0,1397.0,True
shiraz,2024-07-01,2201,35616438.35616438,4300000000.0,136.0,1396.0,True
shiraz,2024-08-01,2116,36086956.52173913,4400000000.0,138.0,1397.0,True
shiraz,2024-09-01,1940,36472999.03567985,4400000000.0,135.0,1397.0,True
shiraz,2024-10-01,2174,37500000.0,4800000000.0,140.0,1398.0,True
shiraz,2024-11-01,2135,37931034.48275862,4700000000.0,140.0,1398.0,True
shiraz,2024-12-01,2310,40000000.0,5058000000.0,140.0,1398.0,True
shiraz,2025-01-01,8,42870370.37037037,5712500000.0,121.5,1396.0,False
tehran,2022-10-01,1,29375000.0,4700000000.0,160.0,1401.0,False
tehran,2023-04-01,1,199215686.27450982,50800000000.0,255.0,1400.0,False
tehran,2023-05-01,1,163934426.2295082,20000000000.0,122.0,1399.0,False
tehran,2023-07-01,4,161789919.92463493,33950000000.0,206.5,1397.5,False
tehran,2023-08-01,2,88088235.29411764,5180000000.0,59.0,1385.0,False
tehran,2023-09-01,2,67070275.40360874,6130000000.0,105.5,1391.5,False
tehran,2023-10-01,4,93250000.0,8906500000.0,91.0,1396.5,False
tehran,2023-11-01,15,72222222.22222222,10900000000.0,131.0,1401.0,False
tehran,2023-12-01,16,106071428.57142857,12900000000.0,127.0,1400.0,False
tehran,2024-01-01,41,92436974.78991596,8500000000.0,117.0,1401.0,False
tehran,2024-02-01,50,99676190.47619048,10790000000.0,123.0,1401.0,False
tehran,2024-03-01,88,84903846.15384614,7400000000.0,110.0,1402.0,False
tehran,2024-04-01,715,101724137.93103448,10150000000.0,107.0,1397.0,True
tehran,2024-05-01,10971,85526315.78947368,7020000000.0,87.0,1393.0,True
tehran,2024-06-01,10981,79047619.04761904,6283000000.0,85.0,1393.0,True
tehran,2024-07-01,11011,81111111.1111111,6500000000.0,85.0,1393.0,True
