feature_group,baseline_r2,r2_after_permutation,r2_drop
location_key,0.36271555614013073,0.1672735965997505,0.19544195954038024
log_building_size,0.36271555614013073,0.2809647528529676,0.08175080328716311
cat3_slug,0.36271555614013073,0.31406233313322884,0.04865322300690189
has_elevator,0.36271555614013073,0.3295872506764198,0.03312830546371093
location_longitude,0.36271555614013073,0.3465700864909377,0.016145469649193056
city_slug,0.36271555614013073,0.34848894795111995,0.014226608189010781
location_latitude,0.36271555614013073,0.3496565713775207,0.013058984762610026
rooms_numeric,0.36271555614013073,0.35061517064402836,0.012100385496102373
construction_year_jalali,0.36271555614013073,0.35162436617154447,0.011091189968586268
has_parking,0.36271555614013073,0.3543735514307631,0.008342004709367634
has_balcony,0.36271555614013073,0.35944228300601666,0.003273273134114074
total_floors_numeric,0.36271555614013073,0.3605185039640729,0.002197052176057812
is_rebuilt,0.36271555614013073,0.3605856782174931,0.002129877922637635
floor_numeric,0.36271555614013073,0.3611501144689825,0.0015654416711482488
user_type,0.36271555614013073,0.3613876214711683,0.001327934668962416
property_type,0.36271555614013073,0.36205153646061716,0.0006640196795135722
units_per_floor_numeric,0.36271555614013073,0.3625358748814831,0.00017968125864764595
location_radius,0.36271555614013073,0.3626512984993284,6.425764080231211e-05
has_warehouse,0.36271555614013073,0.36269925027639416,1.6305863736576498e-05
listing_month_index,0.36271555614013073,0.36271555614013073,0.0
has_heating_system,0.36271555614013073,0.36271555614013073,0.0
has_cooling_system,0.36271555614013073,0.36271555614013073,0.0
