neighborhood_slug,market_segment,listings,median_price_per_sqm,stabilized_price_per_sqm,ci95_low,ci95_high,relative_ci_width_pct
vahidiyeh,Affordable,363,65581395.34883721,71406726.74318086,64146341.46341463,66205357.142857134,3.1396338374477875
charsad-dastgah,Affordable,274,63339970.13439523,71112881.4059026,61326754.385964915,65964459.869085796,7.321925591819135
ostad-moein,Affordable,1136,68965517.2413793,70947223.54059047,67973788.69463868,70161290.32258065,3.1718773605158512
pirouzi,Affordable,673,67164179.10447761,70566662.32309408,65846291.866028704,69542868.85245901,5.503792402018461
ahang,Affordable,350,64142857.14285714,70547724.64717723,60585127.591706544,66666666.666666664,9.481241319536936
tehransar,Affordable,1091,68115942.0289855,70277287.86260103,67000000.0,69491525.42372881,3.6577713667508047
east-tehranpars,Affordable,934,67741935.48387097,70262527.04376163,65560226.048291735,69000000.0,5.0777615477598195
abshar-tehran,Affordable,271,60256410.256410256,69150849.90452564,46666666.666666664,67001876.17260788,33.747794499221584
nazi-abad,Affordable,363,61764705.88235294,68698838.16773738,60000000.0,65000000.0,8.095238095238095
shaharak-e-shariyati,Affordable,303,60000000.0,68371938.28754634,58823529.4117647,61818181.81818182,4.991087344028528
hashemi,Affordable,580,63824404.76190476,68341936.57939944,62900142.31499051,64662311.88375713,2.760965143882411
sarsabil,Affordable,1969,64285714.28571428,65842566.961555794,63541666.666666664,64924242.42424242,2.1506734006734014
afsariyeh,Affordable,693,60937500.0,65362552.70444297,59375000.0,62500000.0,5.128205128205128
dolat-abad,Affordable,300,55223880.59701493,65103397.6581782,53965416.666666664,57046271.92982455,5.578846017069691
jeyhoun,Affordable,2195,63000000.0,64488884.85448182,62121212.121212125,63636363.63636363,2.405002405002394
vardavard,Affordable,276,53038461.538461536,64126802.95551545,50000000.0,55000000.0,9.427121102248007
shahrak-e-kianshahr,Affordable,254,51677192.98245614,63784821.79744846,48790322.58064516,53118000.60864273,8.374444853200075
haftchenar,Affordable,530,56250000.0,62645317.75121562,55218095.23809524,57170787.54578754,3.4714529914529857
jey,Affordable,584,56577748.86141835,62452087.87767857,56075293.75386519,57500000.0,2.5181387998035913
soleymani,Affordable,514,54366895.49961861,61276069.25515549,53370155.03875969,54693877.551020406,2.4347951084865582
moshiriyeh,Affordable,309,49000000.0,60369006.20596545,47777777.777777776,50000000.0,4.535147392290253
khalij-e-fars,Affordable,322,49092244.41833137,60125833.84702203,48000000.0,50000000.0,4.073963257734427
beryanak,Affordable,901,55555555.55555555,59801903.50742505,55000000.0,56521739.13043478,2.7391304347826066
javadiyeh,Affordable,309,48000000.0,59618052.63529908,47017592.59259259,49242581.09040718,4.635392703780393
