neighborhood_slug,listings,median_asking_price,median_price_per_sqm,p25_price_per_sqm,p75_price_per_sqm,median_building_size_sqm,median_rooms,median_construction_year_jalali,median_latitude,median_longitude,median_location_radius,elevator_share,parking_share,warehouse_share,rebuilt_share,balcony_share,price_vs_city_median_pct,stabilized_price_per_sqm,stabilization_weight,iqr_price_per_sqm
poonak,2767,9500000000.0,114606741.5730337,97674104.12440838,133522727.27272727,85.0,2.0,1393.0,35.76210975646973,51.33013343811035,500.0,0.796553016110903,0.9514527399779331,0.9771974990805443,0.6172839506172839,0.953198127925117,37.52808988764045,112171223.0591967,0.9325918436130772,35848623.14831889
jeyhoun,2195,3500000000.0,63000000.0,55515957.44680851,71560175.7944557,57.0,1.0,1390.0,35.68763732910156,51.36460494995117,500.0,0.5105683419445749,0.544392523364486,0.8957943925233645,0.7080163838502048,0.9057714958775029,-24.4,64488884.85448182,0.9164926931106472,16044218.347647198
sarsabil,1969,3450000000.0,64285714.28571428,56818181.81818182,73214285.71428572,56.0,1.0,1387.0,35.68894577026367,51.37411117553711,500.0,0.3834976647638817,0.5165289256198347,0.8858471074380165,0.7555135475740391,0.8695652173913043,-22.857142857142854,65842566.961555794,0.9077916090364223,16396103.896103896
chitgar-lake,1732,7400000000.0,71587318.8800523,39750000.0,85000000.0,110.0,2.0,1402.0,35.749732971191406,51.210039138793945,500.0,0.984070796460177,0.9889534883720931,0.9959302325581395,0.28347996089931576,0.9889779559118237,-14.09521734393724,72722131.57227135,0.8964803312629399,45250000.0
sazamn-barnameh,1667,7700000000.0,104375000.0,94801852.80494082,116250000.0,78.0,2.0,1392.0,35.72991752624512,51.30108451843262,500.0,0.8696439348219674,0.9710669077757685,0.9903556359252562,0.7023076923076923,0.9329608938547486,25.250000000000018,101887797.22480972,0.8928762720942689,21448147.19505918
saadat-abad,1590,21000000000.0,168576479.83237296,142106725.1461988,210000000.0,131.0,3.0,1393.0,35.78205490112305,51.37488555908203,500.0,0.9614343707713126,0.9766688269604666,0.9896305897602073,0.5231388329979879,0.9625884732052579,102.29177579884757,155815073.6877926,0.888268156424581,67893274.85380119
west-tehranpars,1514,8200000000.0,95000000.0,78645815.3580673,111740196.07843138,96.0,2.0,1392.0,35.73899841308594,51.52931213378906,500.0,0.8056835637480799,0.8584507042253521,0.9647887323943662,0.4995417048579285,0.859251968503937,14.000000000000012,93558575.19253403,0.8833138856476079,33094380.72036408
south-janat-abad,1483,9990000000.0,109259259.25925925,97565672.52617025,120801282.05128205,90.0,2.0,1394.0,35.74760437011719,51.30598068237305,500.0,0.8148921363952679,0.962707182320442,0.986878453038674,0.6441441441441441,0.968075117370892,31.11111111111111,105798257.15741426,0.88116458704694,23235609.525111794
kooy-e-ferdos,1377,7900000000.0,101818181.81818181,92708333.33333333,113138686.13138686,80.0,2.0,1391.0,35.72373008728027,51.3161506652832,500.0,0.8561847988077497,0.9540059347181009,0.9866468842729971,0.6549222797927461,0.9312567132116004,22.18181818181819,99263799.46985473,0.8731769181991123,20430352.798053533
andisheh,1325,1800000000.0,30434782.608695652,25660377.358490568,42682926.82926829,60.0,2.0,1398.0,35.74589920043945,51.281145095825195,500.0,0.7655763239875389,0.9753276792598303,0.9915188897455667,0.5449500554938956,0.9789196310935442,-63.47826086956522,34732856.78780323,0.8688524590163934,17022549.470777724
central-janat-abad,1321,9500000000.0,105882352.94117647,92727272.72727273,118461538.46153846,89.0,2.0,1395.0,35.75911331176758,51.30409622192383,500.0,0.7844217151848938,0.9477379095163807,0.9773790951638065,0.5668103448275862,0.9604072398190046,27.05882352941178,102600088.40192461,0.8685075608152532,25734265.73426573
shahr-e-ziba,1297,1900000000.0,32500000.0,26153846.153846152,59302325.58139535,61.0,2.0,1397.0,35.7481575012207,51.291460037231445,500.0,0.7424483306836248,0.9771112865035517,0.988950276243094,0.6997690531177829,0.9760765550239234,-61.0,36856776.41021599,0.8663994655978624,33148479.4275492
west-shahrak-e-golestan,1157,11750000000.0,95161290.32258065,70000000.0,128342245.98930481,127.0,2.0,1399.0,35.75241470336914,51.23619079589844,500.0,0.8275510204081633,0.9630681818181818,0.990530303030303,0.3568,0.9827856025039123,14.193548387096788,93317883.67094147,0.8526160648489315,58342245.98930481
ostad-moein,1136,4543500000.0,68965517.2413793,58302717.391304344,78854489.1640867,70.0,2.0,1397.0,35.693721771240234,51.34459686279297,500.0,0.8303821062441752,0.8052536231884058,0.894927536231884,0.5705045278137129,0.9406688241639698,-17.24137931034483,70947223.54059047,0.8502994011976048,20551771.772782356
tehransar,1091,4500000000.0,68115942.0289855,38688172.04301076,77322495.02322495,75.0,2.0,1396.0,35.69601821899414,51.2551383972168,500.0,0.7406311637080868,0.8856332703213611,0.9640831758034026,0.4539641943734015,0.9303703703703704,-18.260869565217398,70277287.86260103,0.8450813323005422,38634322.98021419
heravi,1051,16800000000.0,138695652.17391303,121132376.39553429,160092592.5925926,124.0,2.0,1397.0,35.76724433898926,51.47656440734863,500.0,0.9756335282651072,0.9786407766990292,0.9864077669902913,0.406807131280389,0.9235772357723577,66.43478260869564,127847455.47180773,0.8401278976818545,38960216.197058305
qeytariyeh,950,22650000000.0,169361147.32724902,146666666.66666666,204679670.72297782,132.5,3.0,1396.0,35.79129219055176,51.4472541809082,500.0,0.9563269876819709,0.9823982398239824,0.9801980198019802,0.39059674502712477,0.9578947368421052,103.23337679269882,149709525.37900352,0.8260869565217391,58013004.05631116
east-tehranpars,934,4200000000.0,67741935.48387097,30147058.82352941,79690016.10305959,75.0,2.0,1393.0,35.741506576538086,51.54642105102539,500.0,0.65,0.7631887456037515,0.9519343493552169,0.4434654919236417,0.7560137457044673,-18.709677419354833,70262527.04376163,0.8236331569664903,49542957.27953018
pasdaran,927,22500000000.0,163809523.80952382,134078782.17200251,214119601.32890368,140.0,3.0,1397.0,35.76714897155762,51.463218688964844,500.0,0.9710843373493976,0.981651376146789,0.9885321100917431,0.4119922630560928,0.956140350877193,96.5714285714286,145294892.10765973,0.8225377107364685,80040819.15690117
yousef-abad,925,16500000000.0,145833333.33333334,125510204.08163266,173563218.3908046,115.0,2.0,1396.0,35.734426498413086,51.405574798583984,500.0,0.8851894374282434,0.9391891891891891,0.9572072072072072,0.39332096474953615,0.9468267581475128,75.00000000000003,132023134.14980994,0.8222222222222222,48053014.30917193
beryanak,901,2950000000.0,55555555.55555555,50000000.0,61538461.538461536,55.0,1.0,1391.0,35.67388916015625,51.37664222717285,500.0,0.5571913929784824,0.5460674157303371,0.9224719101123595,0.6875834445927904,0.874095513748191,-33.333333333333336,59801903.50742505,0.818346957311535,11538461.538461536
