neighborhood_slug,listings,median_price_per_sqm,ci95_low,ci95_high,ci95_width,relative_ci_width_pct,stabilized_price_per_sqm,uncertainty_rank,price_rank_stabilized
zafaraniyeh,795,234375000.0,225743905.50389546,240740740.74074075,14996835.236845285,6.398649701053988,190388814.4700756,81.0,1.0
elahiyeh,642,225543478.26086956,220000000.0,230404842.4208618,10404842.42086181,4.613231338406201,178040866.36631513,53.0,2.0
velenjak,531,233081632.6530612,228395061.72839507,246478873.23943663,18083811.51104155,7.7585742407935925,175911745.27588782,92.0,3.0
niavaran,878,196739803.59196675,191239395.54612938,200000000.0,8760604.453870624,4.4528886854232566,167755348.12112314,49.0,4.0
farmaniyeh,638,206057142.85714287,200000000.0,212196368.44636846,12196368.446368456,5.91892534141564,166017018.20262694,77.0,5.0
darrous,706,194270729.76734936,189170237.31048122,200000000.0,10829762.68951878,5.574572506361642,161161752.51622295,74.0,6.0
saadat-abad,1590,168576479.83237296,166666666.66666666,171428571.42857143,4761904.761904776,2.8247741124027868,155815073.6877926,19.0,7.0
qeytariyeh,950,169361147.32724902,166003752.34521574,172976359.6452426,6972607.300026864,4.117005234119018,149709525.37900352,47.0,8.0
shahrak-e-gharb,480,186881720.43010753,177777777.7777778,200000000.0,22222222.22222221,11.891062523973908,147368826.96665686,100.0,9.0
pasdaran,927,163809523.80952382,160000000.0,167407407.4074074,7407407.407407403,4.5219638242894025,145294892.10765973,50.0,10.0
aghdasieh,261,212500000.0,195171624.7139588,222727272.72727272,27555648.01331392,12.967363770971257,141574733.9467407,101.0,11.0
gisha,679,155714285.7142857,153295289.85507247,157894736.84210527,4599446.987032801,2.953773294424735,135067700.4344526,20.0,12.0
yousef-abad,925,145833333.33333334,143076923.07692307,150000000.0,6923076.923076928,4.74725274725275,132023134.14980994,57.0,13.0
ekhtiyariyeh,619,148275862.06896552,145076612.9032258,150897058.8235294,5820445.920303583,3.925417016018695,128812773.28776376,43.0,14.0
mirdamad,643,147222222.2222222,142583741.83006534,153333333.33333334,10749591.503268003,7.301609322974493,128628276.20193668,86.0,15.0
heravi,1051,138695652.17391303,135135135.13513514,140000000.0,4864864.864864856,3.5075828179276396,127847455.47180772,34.0,16.0
marzdaran,798,138668890.93419236,136179965.41501978,140430402.93040293,4250437.515383154,3.065170195527323,125215572.37973724,22.0,17.0
zafar,442,140967365.96736598,137500000.0,144827586.20689654,7327586.2068965435,5.198072728827808,119673265.63943993,66.0,18.0
jordan,450,138944444.44444445,135818907.10382515,142527972.027972,6709064.924146861,4.828595307262835,118720739.18189484,58.0,19.0
niloufar,378,140140845.07042253,135611943.06930694,143273475.60975608,7661532.540449142,5.467023219817981,117071703.24777348,70.0,20.0
amir-abad,325,140000000.0,137209302.3255814,141891891.8918919,4682589.566310495,3.3447068330789254,114893624.02314351,29.0,21.0
vanak,269,145000000.0,140000000.0,150232558.1395349,10232558.13953489,7.056936647955098,114495486.14391305,84.0,22.0
amaniyeh,266,145129734.25402802,140985901.409859,151851851.85185185,10865950.44199285,7.487060110627378,114379892.74644576,89.0,23.0
poonak,2767,114606741.5730337,113333333.33333333,115789473.68421052,2456140.3508771956,2.143102855177161,112171223.0591967,7.0,24.0
